Unique_ID,City,Latitude,Longitude,Country
1,Tokyo,35.6897,139.6922,Japan
2,Jakarta,-6.175,106.8275,Indonesia
3,Delhi,28.61,77.23,India
4,Guangzhou,23.13,113.26,China
5,Mumbai,19.0761,72.8775,India
6,Manila,14.5958,120.9772,Philippines
7,Shanghai,31.2286,121.4747,China
8,Sao Paulo,-23.55,-46.6333,Brazil
9,Seoul,37.56,126.99,"Korea, South"
10,Mexico City,19.4333,-99.1333,Mexico
11,Cairo,30.0444,31.2358,Egypt
12,New York,40.6943,-73.9249,United States
13,Dhaka,23.7639,90.3889,Bangladesh
14,Mumbai,19.0761,72.8775,India
15,Kolkata,22.5675,88.37,India
16,Bangkok,13.7525,100.4942,Thailand
17,Shenzhen,22.5415,114.0596,China
18,Moscow,55.7558,37.6172,Russia
19,Buenos Aires,-34.6033,-58.3817,Argentina
20,Lagos,6.455,3.3841,Nigeria
21,Istanbul,41.0136,28.955,Turkey
22,Chennai,19.0761,72.8775,India
23,Bangalore,12.9789,77.5917,India
24,Ho Chi Minh City,10.7756,106.7019,Vietnam
25,Osaka,34.6939,135.5022,Japan
26,Chengdu,30.66,104.0633,China
27,Tehran,35.6892,51.3889,Iran
28,Kinshasa,-4.3219,15.3119,Congo (Kinshasa)
29,Rio de Janeiro,-22.9111,-43.2056,Brazil
30,Chennai,13.0825,80.275,India
31,Xi'an,34.2611,108.9422,China
32,Lahore,31.5497,74.3436,Pakistan
33,Chongqing,29.5637,106.5504,China
34,Los Angeles,34.1141,-118.4068,United States
35,Baoding,38.874,115.464,China
36,London,51.5072,-0.1275,United Kingdom
37,Paris,48.8567,2.3522,France
38,Linyi,35.1038,118.3564,China
39,Dongguan,23.021,113.752,China
40,Hyderabad,17.3617,78.4747,India
41,Tianjin,39.1336,117.2054,China
42,Lima,-12.06,-77.0375,Peru
43,Wuhan,30.5934,114.3046,China
44,Nanyang,32.9987,112.5292,China
45,Hangzhou,30.267,120.153,China
46,Foshan,23.0214,113.1216,China
47,Nagoya,35.1833,136.9,Japan
48,Tongshan,34.204,117.284,China
49,Luanda,-8.8383,13.2344,Angola
50,Zhoukou,33.625,114.6418,China
51,Ganzhou,25.831,114.933,China
52,Kuala Lumpur,3.1478,101.6953,Malaysia
53,Heze,35.2343,115.4796,China
54,Quanzhou,24.8744,118.6757,China
55,Johannesburg,-26.2044,28.0456,South Africa
56,Chicago,41.8375,-87.6866,United States
57,Nanjing,32.0608,118.7789,China
58,Jining,35.4151,116.5871,China
59,Hanoi,21,105.85,Vietnam
60,Pune,18.5203,73.8567,India
61,Fuyang,32.89,115.814,China
62,Ahmedabad,23.0225,72.5714,India
63,Bogota,4.7111,-74.0722,Colombia
64,Shenyang,41.8025,123.4281,China
65,Dar es Salaam,-6.8161,39.2803,Tanzania
66,Mumbai,19.0761,72.8775,India
67,Shangqiu,34.415,115.656,China
68,Hong Kong,22.3,114.2,Hong Kong
69,Cangzhou,38.3047,116.8387,China
70,Riyadh,24.6333,46.7167,Saudi Arabia
71,Santiago,-33.4372,-70.6506,Chile
72,Xingtai,37.0717,114.5048,China
73,Zhumadian,33.014,114.022,China
74,Chattogram,22.335,91.8325,Bangladesh
75,Surabaya,-7.2458,112.7378,Indonesia
76,Zhanjiang,21.2701,110.3575,China
77,Bijie,27.284,105.292,China
78,Yancheng,33.3482,120.1626,China
79,Hengyang,26.894,112.572,China
80,Mumbai,19.0761,72.8775,India
81,Shaoyang,27.2395,111.4679,China
82,Surat,21.1702,72.8311,India
83,Shangrao,28.4551,117.9431,China
84,Xinyang,32.149,114.091,China
85,Madrid,40.4169,-3.7033,Spain
86,Baghdad,33.3153,44.3661,Iraq
87,Maoming,21.6627,110.9255,China
88,Jieyang,23.551,116.3727,China
89,Miami,25.784,-80.2101,United States
